gid,role,role_score,cluster_id,priority_score,evidence,peripheral_reason,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,depth,is_seed,truncated_by_depth,hub_targets,matched_out_2d_share,distinct_counterparties
100000000011452100,consolidator,0.5,0,0.6098327127227191,"in_deg=3>=2*out_deg(1); in_kzt=110000>=100000, out_kzt=16685, out/in=0.15",,3,1,110000.0,16685.0,7,2,0.00048269151121018274,3.426206367261913e-06,0.1516818181818182,1,False,False,0,0.1516818181818182,3
100000000018102100,peripheral,0.0,0,0.04682761038757167,"depth=4 cutoff; in_deg=1, in_kzt=7000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,7000.0,0.0,1,0,0.00032182986973917834,0.0,0.0,4,False,True,0,0.0,1
100000000031787100,transit,1.0,1,0.42547790702165983,"out/in=1.00 in [0.8,1.2]; in_kzt=90000, out_kzt=90000, matched_2d=0.44",,1,2,90000.0,90000.0,2,4,0.0004334042285692282,4.0308310203081327e-07,1.0,2,False,False,0,0.4444444444444444,2
100000000041368100,peripheral,0.0,2,0.05604627605030743,"in_deg=1, out_deg=0, in_kzt=160000<500000, in_tx=1, depth=1<4",single_edge_leaf,1,0,160000.0,0.0,1,0,0.0003190139758784959,0.0,0.0,1,False,False,0,0.0,1
100000000076451100,peripheral,0.0,3,0.06985343329672648,"no rule: b=0.000099<0.002, in_deg=3, out_deg=4, in_kzt=87707, out_kzt=58000, out/in=0.66, depth=2, seed=0",below_thresholds,3,4,87707.0,58000.0,4,4,0.0014012275295631372,9.935998465059547e-05,0.661292713238396,2,False,False,0,0.1111111111111111,5
100000000089154100,peripheral,0.0,0,0.07019711378784645,"no rule: b=0.000111<0.002, in_deg=1, out_deg=15, in_kzt=10000, out_kzt=425500, out/in=42.55, depth=1, seed=0",below_thresholds,1,15,10000.0,425500.0,1,21,0.0002887329326818675,0.00011082142424807878,42.55,1,False,False,5,1.0,15
100000000190228100,peripheral,0.0,4,0.0558477033763925,"no rule: b=0.000022<0.002, in_deg=1, out_deg=1, in_kzt=5000, out_kzt=28560, out/in=5.71, depth=2, seed=0",below_thresholds,1,1,5000.0,28560.0,1,1,0.000584572299626702,2.1968029060679322e-05,5.712,2,False,False,0,,2
100000000201868100,transit,1.0,5,0.456554645933952,"out/in=1.00 in [0.8,1.2]; in_kzt=190000, out_kzt=190000, matched_2d=1.00",,1,1,190000.0,190000.0,1,1,0.0009794617939092776,0.0,1.0,2,False,False,0,1.0,1
100000000254336100,peripheral,0.0,0,0.05647137784823955,"no rule: b=0.000020<0.002, in_deg=2, out_deg=1, in_kzt=97177, out_kzt=60000, out/in=0.62, depth=3, seed=0",below_thresholds,2,1,97177.0,60000.0,2,1,0.0002932410363983098,1.9549530448494444e-05,0.6174300503205491,3,False,False,0,0.6174300503205491,3
100000000267734100,peripheral,0.0,1,0.06825961631816245,"no rule: b=0.000004<0.002, in_deg=2, out_deg=7, in_kzt=180000, out_kzt=282000, out/in=1.57, depth=1, seed=0",below_thresholds,2,7,180000.0,282000.0,4,8,0.0005396268570373779,3.6277479182773194e-06,1.5666666666666667,1,False,False,0,0.2222222222222222,8
100000000274067100,peripheral,0.0,1,0.06827367265297914,"no rule: b=0.000001<0.002, in_deg=2, out_deg=3, in_kzt=517704, out_kzt=2969000, out/in=5.73, depth=1, seed=0",below_thresholds,2,3,517704.0,2969000.0,9,9,0.0004154993568724503,1.2092493060924398e-06,5.734937338710924,1,False,False,0,0.4301763169687698,4
100000000287768100,peripheral,0.0,0,0.05025229687207993,"in_deg=1, out_deg=0, in_kzt=35168<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,35168.0,0.0,1,0,0.0002899803049810877,0.0,0.0,3,False,False,0,0.0,1
100000000288317100,peripheral,0.0,0,0.059157592796473785,"no rule: b=0.000059<0.002, in_deg=2, out_deg=3, in_kzt=100000, out_kzt=53500, out/in=0.54, depth=3, seed=0",below_thresholds,2,3,100000.0,53500.0,2,3,0.0003142257679922478,5.925321599852955e-05,0.535,3,False,False,0,0.33,5
100000000291906100,transit,0.5627963917525771,6,0.48595797202812985,"out/in=1.17 in [0.8,1.2]; in_kzt=388000, out_kzt=455854, matched_2d=0.43",,2,2,388000.0,455854.0,3,6,0.0007661900611786513,7.940737110007021e-05,1.1748814432989692,2,False,False,0,0.4339020618556701,3
100000000291908100,peripheral,0.0,6,0.06084135771652193,"no rule: b=0.000020<0.002, in_deg=1, out_deg=1, in_kzt=295500, out_kzt=13300, out/in=0.05, depth=3, seed=0",below_thresholds,1,1,295500.0,13300.0,5,1,0.0007095144362731576,2.0154155101540664e-05,0.045008460236886635,3,False,False,0,0.0,2
