gid,role,role_score,cluster_id,priority_score,evidence,peripheral_reason,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,betweenness,pass_through,depth,is_seed,truncated_by_depth,hub_targets,matched_out_2d_share,distinct_counterparties
100000000297649100,peripheral,0.0,7,0.05734425016390737,"no rule: b=0.000000<0.002, in_deg=1, out_deg=1, in_kzt=40000, out_kzt=70600, out/in=1.76, depth=2, seed=0",below_thresholds,1,1,40000.0,70600.0,1,2,0.0008126196235416593,0.0,1.765,2,False,False,0,0.0,1
100000000299820100,peripheral,0.0,8,0.048753078142465524,"depth=4 cutoff; in_deg=1, in_kzt=10000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,10000.0,0.0,1,0,0.0004521425996333725,0.0,0.0,4,False,True,0,0.0,1
100000000307908100,peripheral,0.0,9,0.04726643891180598,"in_deg=1, out_deg=0, in_kzt=5000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,5000.0,0.0,1,0,0.000297875363934879,0.0,0.0,2,False,False,0,0.0,1
100000000331309100,coordinator,1.0,10,0.8152386147037604,"directed betweenness=0.004635>=0.002; in_deg=5, out_deg=99, hub_targets=1",,5,99,984635.0,23001375.0,8,126,0.0008793827745051853,0.004635309682700263,23.360306103276848,2,False,False,1,1.0,104
100000000332284100,consolidator,0.53713,10,0.7097917788260689,"in_deg=10>=2*out_deg(3); in_kzt=107426>=100000, out_kzt=289500, out/in=2.69",,10,3,107426.0,289500.0,12,3,0.0007202107423552567,0.00011100703234949659,2.69487833485376,2,False,False,0,0.1053639846743295,13
100000000343175100,distributor,1.0,11,0.823414958554367,"out_deg=31>=10, out_kzt=4000039>=500000; out_tx=33, seed=1",,8,31,178712.0,4000039.0,14,33,0.0007166946382018716,0.0011134471467225259,22.382598818210305,0,True,False,0,0.9692242266887506,31
100000000369781100,peripheral,0.0,10,0.048139889923130015,"depth=4 cutoff; in_deg=1, in_kzt=5000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,5000.0,0.0,1,0,0.0005348085759658292,0.0,0.0,4,False,True,0,0.0,1
100000000375150100,peripheral,0.0,12,0.058309643317097204,"depth=4 cutoff; in_deg=1, in_kzt=300000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,300000.0,0.0,1,0,0.0007494263644586506,0.0,0.0,4,False,True,0,0.0,1
100000000404740100,peripheral,0.0,13,0.05159008378495688,"depth=4 cutoff; in_deg=1, in_kzt=25000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,25000.0,0.0,1,0,0.0005604163568367289,0.0,0.0,4,False,True,0,0.0,1
100000000408846100,peripheral,0.0,14,0.05059980950297615,"in_deg=1, out_deg=0, in_kzt=40500<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,40500.0,0.0,1,0,0.000297044126345443,0.0,0.0,3,False,False,0,0.0,1
100000000413678100,peripheral,0.0,8,0.062365582821709266,"no rule: b=0.000059<0.002, in_deg=2, out_deg=3, in_kzt=306500, out_kzt=528198, out/in=1.72, depth=3, seed=0",below_thresholds,2,3,306500.0,528198.0,2,18,0.000302040898049888,5.864859134548333e-05,1.723321370309951,3,False,False,0,0.25448287112561174,5
100000000424935100,peripheral,0.0,15,0.048171138712889576,"depth=4 cutoff; in_deg=1, in_kzt=15000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,15000.0,0.0,1,0,0.00030278903536911625,0.0,0.0,4,False,True,0,0.0,1
100000000425407100,peripheral,0.0,2,0.05011273759400965,"in_deg=1, out_deg=0, in_kzt=20000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,20000.0,0.0,1,0,0.0003064569809907415,0.0,0.0,2,False,False,0,0.0,1
100000000437046100,coordinator,0.5586976431277001,0,0.8074638356353093,"directed betweenness=0.002235>=0.002; in_deg=9, out_deg=42, hub_targets=3",,9,42,1107200.0,7606224.0,20,73,0.0007959082210455853,0.0022347905725108004,6.86978323699422,2,False,False,3,0.89628612716763,48
100000000440392100,peripheral,0.0,5,0.05502575244590563,"in_deg=1, out_deg=0, in_kzt=105705<500000, in_tx=4, depth=1<4",single_edge_leaf,1,0,105705.0,0.0,4,0,0.00029826480314214585,0.0,0.0,1,False,False,0,0.0,1
100000000456947100,peripheral,0.0,16,0.030000000000000006,"in_deg=0, out_deg=0, in_kzt=0, out_kzt=0; seed=1; no observed edge",isolate,0,0,0.0,0.0,0,0,0.0,0.0,,0,True,False,0,,0
100000000470237100,peripheral,0.0,15,0.05236582831497451,"depth=4 cutoff; in_deg=1, in_kzt=32500, out_deg=0; onward transfers unobserved",censored_depth4,1,0,32500.0,0.0,1,0,0.0005874891550959065,0.0,0.0,4,False,True,0,,1
100000000481716100,peripheral,0.0,17,0.048124812274512485,"in_deg=1, out_deg=0, in_kzt=8000<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,8000.0,0.0,1,0,0.0003788137329803885,0.0,0.0,3,False,False,0,0.0,1
100000000489417100,transit,0.7790596430126253,12,0.45514598026452513,"out/in=1.09 in [0.8,1.2]; in_kzt=73504, out_kzt=80000, matched_2d=0.27",,3,1,73504.0,80000.0,3,1,0.0005541705311196942,1.4286112009987653e-05,1.0883761427949499,2,False,False,0,0.27209403569873747,4
100000000490383100,peripheral,0.0,5,0.06940278137373272,"no rule: b=0.000053<0.002, in_deg=3, out_deg=8, in_kzt=62600, out_kzt=461375, out/in=7.37, depth=2, seed=0",below_thresholds,3,8,62600.0,461375.0,3,9,0.0005504333625377876,5.2535164298016e-05,7.37020766773163,2,False,False,0,0.07987220447284345,11
100000000500040100,peripheral,0.0,0,0.048788348947463624,"depth=4 cutoff; in_deg=1, in_kzt=20000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,20000.0,0.0,1,0,0.00030741733462758713,0.0,0.0,4,False,True,0,0.0,1
100000000507799100,peripheral,0.0,18,0.05220703287352923,"no rule: b=0.000117<0.002, in_deg=1, out_deg=1, in_kzt=5132, out_kzt=8000, out/in=1.56, depth=1, seed=0",below_thresholds,1,1,5132.0,8000.0,1,1,0.0002874030975703719,0.00011729718269096666,1.558846453624318,1,False,False,0,0.0,2
100000000533217100,peripheral,0.0,0,0.05533777679002438,"in_deg=1, out_deg=0, in_kzt=53587<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,53587.0,0.0,1,0,0.0006562721839885964,0.0,0.0,2,False,False,0,0.0,1
100000000534581100,peripheral,0.0,8,0.0554309045939557,"no rule: b=0.000020<0.002, in_deg=2, out_deg=1, in_kzt=55960, out_kzt=40000, out/in=0.71, depth=3, seed=0",below_thresholds,2,1,55960.0,40000.0,2,1,0.00029978485808505965,1.9549530448494444e-05,0.7147962830593281,3,False,False,0,0.0,3
100000000542087100,peripheral,0.0,19,0.046898759831857366,"depth=4 cutoff; in_deg=1, in_kzt=8507, out_deg=0; onward transfers unobserved",censored_depth4,1,0,8506.91,0.0,1,0,0.0002876977607260813,0.0,0.0,4,False,True,0,0.0,1
100000000552584100,peripheral,0.0,20,0.071015942014175,"no rule: b=0.000000<0.002, in_deg=1, out_deg=1, in_kzt=2500000, out_kzt=57500, out/in=0.02, depth=3, seed=0",below_thresholds,1,1,2500000.0,57500.0,3,1,0.0013443635913060388,0.0,0.023,3,False,False,0,0.0,2
100000000555721100,peripheral,0.0,0,0.05769684124036234,"no rule: b=0.000000<0.002, in_deg=2, out_deg=0, in_kzt=113000, out_kzt=0, out/in=0.00, depth=1, seed=0",below_thresholds,2,0,113000.0,0.0,3,0,0.00030946187110025933,0.0,0.0,1,False,False,0,0.0,2
100000000557536100,peripheral,0.0,19,0.052799616569066114,"depth=4 cutoff; in_deg=1, in_kzt=153000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,153000.0,0.0,7,0,0.0003021168196314693,0.0,0.0,4,False,True,0,0.0,1
100000000560751100,peripheral,0.0,12,0.052038328296314655,"in_deg=1, out_deg=0, in_kzt=25000<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,25000.0,0.0,1,0,0.0005548595863285808,0.0,0.0,3,False,False,0,0.0,1
100000000561160100,peripheral,0.0,2,0.054965231809487716,"depth=4 cutoff; in_deg=1, in_kzt=240000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,240000.0,0.0,1,0,0.00043816438032217447,0.0,0.0,4,False,True,0,,1
100000000569479100,peripheral,0.0,0,0.055653102569097695,"in_deg=1, out_deg=0, in_kzt=320000<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,320000.0,0.0,1,0,0.00039669294672804647,0.0,0.0,3,False,False,0,,1
100000000572276100,peripheral,0.0,21,0.05264027621734823,"no rule: b=0.000001<0.002, in_deg=1, out_deg=1, in_kzt=13075, out_kzt=34547, out/in=2.64, depth=3, seed=0",below_thresholds,1,1,13075.0,34547.0,1,1,0.00028889797070419615,1.4107908571078464e-06,2.6422179732313578,3,False,False,0,0.0,2
100000000580561100,peripheral,0.0,22,0.07449502724179798,"no rule: b=0.000001<0.002, in_deg=2, out_deg=3, in_kzt=27980, out_kzt=1488077, out/in=53.18, depth=0, seed=1",below_thresholds,2,3,27980.0,1488077.0,3,13,0.000838434834517069,1.2092493060924398e-06,53.183595425303785,0,True,False,0,0.8463187991422445,3
100000000581662100,peripheral,0.0,23,0.048871546254055855,"depth=4 cutoff; in_deg=1, in_kzt=21160, out_deg=0; onward transfers unobserved",censored_depth4,1,0,21160.0,0.0,1,0,0.0003042696751806578,0.0,0.0,4,False,True,0,0.0,1
100000000581682100,peripheral,0.0,15,0.04587989387357147,"depth=4 cutoff; in_deg=1, in_kzt=5000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,5000.0,0.0,1,0,0.00029216224557313084,0.0,0.0,4,False,True,0,0.0,1
100000000583220100,peripheral,0.0,24,0.058910541071633155,"no rule: b=0.000020<0.002, in_deg=1, out_deg=1, in_kzt=5000, out_kzt=761255, out/in=152.25, depth=3, seed=0",below_thresholds,1,1,5000.0,761255.0,1,4,0.000299444544095156,1.9952613550525257e-05,152.251,3,False,False,0,1.0,2
100000000594783100,peripheral,0.0,20,0.07165278289358969,"no rule: b=0.000000<0.002, in_deg=1, out_deg=2, in_kzt=2635000, out_kzt=152500, out/in=0.06, depth=3, seed=0",below_thresholds,1,2,2635000.0,152500.0,10,2,0.0014014693873001074,0.0,0.05787476280834915,3,False,False,0,0.05787476280834915,2
100000000596954100,peripheral,0.0,2,0.05981782740754115,"no rule: b=0.000049<0.002, in_deg=1, out_deg=2, in_kzt=120000, out_kzt=48100, out/in=0.40, depth=2, seed=0",below_thresholds,1,2,120000.0,48100.0,1,2,0.0005178616657439624,4.9176138447759216e-05,0.4008333333333333,2,False,False,0,0.4008333333333333,3
100000000600707100,peripheral,0.0,25,0.05423768611958651,"depth=4 cutoff; in_deg=1, in_kzt=89000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,89000.0,0.0,2,0,0.0005726088761598878,0.0,0.0,4,False,True,0,0.0,1
100000000607731100,peripheral,0.0,26,0.05673198795322734,"no rule: b=0.000001<0.002, in_deg=1, out_deg=1, in_kzt=20000, out_kzt=66666, out/in=3.33, depth=1, seed=0",below_thresholds,1,1,20000.0,66666.0,1,1,0.0003189386946552996,6.046246530462199e-07,3.3333,1,False,False,0,0.0,2
100000000607941100,peripheral,0.0,5,0.05760326652033215,"no rule: b=0.000059<0.002, in_deg=2, out_deg=1, in_kzt=50000, out_kzt=70000, out/in=1.40, depth=2, seed=0",below_thresholds,2,1,50000.0,70000.0,3,4,0.0005809708535676358,5.864859134548333e-05,1.4,2,False,False,0,0.4,2
100000000608031100,peripheral,0.0,27,0.05177301628037306,"depth=4 cutoff; in_deg=1, in_kzt=30000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,30000.0,0.0,1,0,0.000540991861368622,0.0,0.0,4,False,True,0,0.0,1
100000000611474100,peripheral,0.0,28,0.05293467531564862,"in_deg=1, out_deg=0, in_kzt=32000<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,32000.0,0.0,1,0,0.0005982029982967119,0.0,0.0,3,False,False,0,0.0,1
100000000625169100,peripheral,0.0,21,0.048578636149829296,"in_deg=1, out_deg=0, in_kzt=10000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,10000.0,0.0,1,0,0.00029025906449417065,0.0,0.0,2,False,False,0,0.0,1
100000000627521100,peripheral,0.0,29,0.04635887572383122,"depth=4 cutoff; in_deg=1, in_kzt=6500, out_deg=0; onward transfers unobserved",censored_depth4,1,0,6500.0,0.0,1,0,0.00028738078514544205,0.0,0.0,4,False,True,0,0.0,1
100000000629812100,peripheral,0.0,30,0.05267003577779725,"no rule: b=0.000000<0.002, in_deg=2, out_deg=0, in_kzt=22000, out_kzt=0, out/in=0.00, depth=2, seed=0",below_thresholds,2,0,22000.0,0.0,2,0,0.0002993149083667382,0.0,0.0,2,False,False,0,0.0,2
100000000634341100,peripheral,0.0,0,0.05148009386213272,"depth=4 cutoff; in_deg=1, in_kzt=24000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,24000.0,0.0,2,0,0.0005573539003533431,0.0,0.0,4,False,True,0,0.0,1
100000000640800100,peripheral,0.0,8,0.06235094905397917,"no rule: b=0.000148<0.002, in_deg=1, out_deg=4, in_kzt=80000, out_kzt=518135, out/in=6.48, depth=3, seed=0",below_thresholds,1,4,80000.0,518135.0,1,6,0.00030459135147765915,0.00014766212715380426,6.4766875,3,False,False,1,0.2014,5
100000000646541100,peripheral,0.0,0,0.05661999376394742,"no rule: b=0.000000<0.002, in_deg=3, out_deg=0, in_kzt=25300, out_kzt=0, out/in=0.00, depth=2, seed=0",below_thresholds,3,0,25300.0,0.0,4,0,0.0005080733109951688,0.0,0.0,2,False,False,0,0.0,3
100000000655469100,peripheral,0.0,31,0.049156640891487954,"depth=4 cutoff; in_deg=1, in_kzt=20000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,20000.0,0.0,2,0,0.0003469593014147203,0.0,0.0,4,False,True,0,0.0,1
100000000656682100,transit,0.6830985915492956,0,0.4204579581669249,"out/in=1.13 in [0.8,1.2]; in_kzt=71000, out_kzt=80000, matched_2d=0.00",,1,2,71000.0,80000.0,1,3,0.00029086429325938704,3.909906089698889e-05,1.1267605633802817,3,False,False,0,0.0,3
100000000661131100,peripheral,0.0,21,0.04862371256204145,"in_deg=1, out_deg=0, in_kzt=15600<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,15600.0,0.0,1,0,0.00028929368986850757,0.0,0.0,3,False,False,0,0.0,1
100000000661912100,consolidator,0.625,8,0.7904178567562328,"in_deg=5>=2*out_deg(2); in_kzt=393036>=100000, out_kzt=430700, out/in=1.10",,5,2,393036.0,430700.0,9,8,0.0017684681959515515,0.0013565396531613895,1.0958283719557496,1,False,False,0,0.6950203034836504,6
100000000667713100,peripheral,0.0,5,0.06380778396703636,"no rule: b=0.000142<0.002, in_deg=2, out_deg=6, in_kzt=119495, out_kzt=79236, out/in=0.66, depth=1, seed=0",below_thresholds,2,6,119495.0,79236.0,10,7,0.00032153406026379694,0.00014206922093968531,0.663090505878907,1,False,False,1,0.3134022344031131,7
100000000673868100,peripheral,0.0,32,0.07320876491649354,"no rule: b=0.000042<0.002, in_deg=1, out_deg=5, in_kzt=2030650, out_kzt=383000, out/in=0.19, depth=3, seed=0",below_thresholds,1,5,2030650.0,383000.0,5,19,0.0011776794935193062,4.171910106018917e-05,0.18860955851574618,3,False,False,0,0.1437963213749292,5
100000000673915100,peripheral,0.0,19,0.04863540707317887,"depth=4 cutoff; in_deg=1, in_kzt=20200, out_deg=0; onward transfers unobserved",censored_depth4,1,0,20200.0,0.0,1,0,0.00028886462173996095,0.0,0.0,4,False,True,0,0.0,1
100000000703894100,peripheral,0.0,26,0.05939947426934855,"no rule: b=0.000001<0.002, in_deg=1, out_deg=1, in_kzt=120000, out_kzt=35000, out/in=0.29, depth=1, seed=0",below_thresholds,1,1,120000.0,35000.0,1,1,0.00047938791455610685,6.046246530462199e-07,0.2916666666666667,1,False,False,0,0.0,2
100000000703902100,peripheral,0.0,21,0.05213158138668092,"in_deg=1, out_deg=0, in_kzt=25499<500000, in_tx=1, depth=1<4",single_edge_leaf,1,0,25499.0,0.0,1,0,0.0002922226280775171,0.0,0.0,1,False,False,0,0.0,1
100000000704700100,peripheral,0.0,33,0.04953030263209613,"depth=4 cutoff; in_deg=1, in_kzt=10000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,10000.0,0.0,1,0,0.0005355899447457869,0.0,0.0,4,False,True,0,0.0,1
100000000706545100,consolidator,0.5,5,0.8102820249984384,"in_deg=3>=2*out_deg(1); in_kzt=1070300>=100000, out_kzt=75800, out/in=0.07",,3,1,1070300.0,75800.0,8,3,0.0032775572299833396,1.9952613550525257e-05,0.07082126506586939,1,False,False,0,0.0,3
100000000718427100,peripheral,0.0,21,0.04754659413366786,"in_deg=1, out_deg=0, in_kzt=6000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,6000.0,0.0,1,0,0.00028889497896655766,0.0,0.0,2,False,False,0,0.0,1
100000000723383100,peripheral,0.0,31,0.0576981175317723,"no rule: b=0.000243<0.002, in_deg=1, out_deg=2, in_kzt=6800, out_kzt=75000, out/in=11.03, depth=2, seed=0",below_thresholds,1,2,6800.0,75000.0,1,2,0.000390985380615209,0.0002430591105245804,11.029411764705882,2,False,False,0,0.0,3
100000000724540100,peripheral,0.0,34,0.0558007416270795,"no rule: b=0.000020<0.002, in_deg=1, out_deg=1, in_kzt=50000, out_kzt=100000, out/in=2.00, depth=2, seed=0",below_thresholds,1,1,50000.0,100000.0,1,1,0.00031101632991811806,2.0154155101540664e-05,2.0,2,False,False,0,0.0,2
100000000733373100,peripheral,0.0,5,0.04887281191234019,"in_deg=1, out_deg=0, in_kzt=10710<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,10710.0,0.0,1,0,0.0003071473108163014,0.0,0.0,2,False,False,0,0.0,1
100000000733451100,peripheral,0.0,12,0.05932527300016788,"no rule: b=0.000025<0.002, in_deg=1, out_deg=1, in_kzt=70000, out_kzt=300000, out/in=4.29, depth=3, seed=0",below_thresholds,1,1,70000.0,300000.0,2,1,0.0005435003201234483,2.4991152325910422e-05,4.285714285714286,3,False,False,0,0.0,2
100000000733940100,peripheral,0.0,35,0.057009991586103204,"depth=4 cutoff; in_deg=1, in_kzt=752000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,752000.0,0.0,2,0,0.0004129814474067525,0.0,0.0,4,False,True,0,0.0,1
100000000737152100,peripheral,0.0,0,0.050264816447909956,"depth=4 cutoff; in_deg=1, in_kzt=35000, out_deg=0; onward transfers unobserved",censored_depth4,1,0,35000.0,0.0,1,0,0.0003460334113144904,0.0,0.0,4,False,True,0,0.0,1
100000000749118100,peripheral,0.0,0,0.05115193007144423,"no rule: b=0.000020<0.002, in_deg=1, out_deg=1, in_kzt=10330, out_kzt=16500, out/in=1.60, depth=3, seed=0",below_thresholds,1,1,10330.0,16500.0,1,1,0.00028743306929338166,1.9549530448494444e-05,1.5972894482090998,3,False,False,0,0.0,2
100000000764836100,peripheral,0.0,8,0.058790217499626,"no rule: b=0.000039<0.002, in_deg=1, out_deg=2, in_kzt=251716, out_kzt=50000, out/in=0.20, depth=3, seed=0",below_thresholds,1,2,251716.0,50000.0,1,2,0.00033826827405659124,3.909906089698889e-05,0.1986365586613485,3,False,False,0,0.09931827933067425,3
100000000765628100,peripheral,0.0,5,0.04744299662527858,"in_deg=1, out_deg=0, in_kzt=5000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,5000.0,0.0,1,0,0.0003168316277234903,0.0,0.0,2,False,False,0,0.0,1
100000000769919100,peripheral,0.0,36,0.05917819996683265,"in_deg=1, out_deg=0, in_kzt=250000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,250000.0,0.0,1,0,0.0007385917129711793,0.0,0.0,2,False,False,0,0.0,1
100000000782285100,peripheral,0.0,37,0.047065203695989904,"in_deg=1, out_deg=0, in_kzt=6151<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,6151.0,0.0,1,0,0.00032135669012929325,0.0,0.0,3,False,False,0,0.0,1
100000000783406100,peripheral,0.0,38,0.046759293282728216,"in_deg=1, out_deg=0, in_kzt=6066<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,6066.0,0.0,1,0,0.00029149354686938195,0.0,0.0,3,False,False,0,0.0,1
100000000785800100,transit,1.0,39,0.39697318394521763,"out/in=1.00 in [0.8,1.2]; in_kzt=19000, out_kzt=19000",,1,1,19000.0,19000.0,1,1,0.0003586118389338391,0.0,1.0,2,False,False,0,,2
100000000790311100,peripheral,0.0,3,0.051743035914030004,"in_deg=1, out_deg=0, in_kzt=46300<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,46300.0,0.0,1,0,0.0003016383928625213,0.0,0.0,2,False,False,0,0.0,1
100000000791285100,peripheral,0.0,14,0.06391649144328068,"no rule: b=0.000040<0.002, in_deg=1, out_deg=3, in_kzt=1120000, out_kzt=650000, out/in=0.58, depth=3, seed=0",below_thresholds,1,3,1120000.0,650000.0,2,3,0.0005687922766193718,3.95021439990197e-05,0.5803571428571429,3,False,False,0,,3
100000000795033100,peripheral,0.0,0,0.05205644026541221,"in_deg=1, out_deg=0, in_kzt=18200<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,18200.0,0.0,1,0,0.0005353514037945992,0.0,0.0,2,False,False,0,0.0,1
100000000795129100,peripheral,0.0,3,0.056524571018917225,"in_deg=1, out_deg=0, in_kzt=332000<500000, in_tx=1, depth=2<4",single_edge_leaf,1,0,332000.0,0.0,1,0,0.0003928991315868273,0.0,0.0,2,False,False,0,,1
100000000795374100,peripheral,0.0,8,0.051020514747316816,"in_deg=1, out_deg=0, in_kzt=50000<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,50000.0,0.0,1,0,0.00029706262798398085,0.0,0.0,3,False,False,0,0.0,1
100000000802149100,peripheral,0.0,0,0.05247578419041685,"in_deg=1, out_deg=0, in_kzt=104128<500000, in_tx=1, depth=3<4",single_edge_leaf,1,0,104128.0,0.0,1,0,0.0002961206908130451,0.0,0.0,3,False,False,0,0.0,1
100000000803368100,peripheral,0.0,40,0.05492937401312673,"depth=4 cutoff; in_deg=1, in_kzt=139503, out_deg=0; onward transfers unobserved",censored_depth4,1,0,139503.0,0.0,1,0,0.0005505683576775039,0.0,0.0,4,False,True,0,0.0,1
100000000806727100,peripheral,0.0,2,0.05454590813576019,"no rule: b=0.000000<0.002, in_deg=1, out_deg=1, in_kzt=45000, out_kzt=5000, out/in=0.11, depth=2, seed=0",below_thresholds,1,1,45000.0,5000.0,1,1,0.0003473862740271748,0.0,0.1111111111111111,2,False,False,0,0.0,2
100000000810551100,peripheral,0.0,2,0.05742955382601596,"no rule: b=0.000079<0.002, in_deg=1, out_deg=1, in_kzt=100000, out_kzt=7100, out/in=0.07, depth=1, seed=0",below_thresholds,1,1,100000.0,7100.0,1,1,0.00030695205392723674,7.902668150370777e-05,0.071,1,False,False,0,0.0,2
