rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.988968,"Rank 1/2248 (priority 0.988968): coordinator multiplier 1.00; observed outflow 8,588,655 KZT, 62 recipients, hop 0, amount-weighted PageRank 0.002029. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.1000 + PageRank 0.1890."
2,100000003016635100,coordinator,0.911326,"Rank 2/2248 (priority 0.911326): coordinator multiplier 1.00; observed outflow 9,414,081 KZT, 73 recipients, hop 0, amount-weighted PageRank 0.001195. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.1000 + PageRank 0.1113."
3,100000006866783100,coordinator,0.881414,"Rank 3/2248 (priority 0.881414): coordinator multiplier 1.00; observed outflow 3,948,037 KZT, 67 recipients, hop 0, amount-weighted PageRank 0.000874. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.1000 + PageRank 0.0814."
4,100000004015047100,consolidator,0.862239,"Rank 4/2248 (priority 0.862239): consolidator multiplier 1.00; observed inflow 919,104 KZT, 9 counterparties, hop 1, amount-weighted PageRank 0.002286. Score terms before multiplier: base 0.20 + amount 0.2740 + breadth 0.1382 + depth 0.0500 + PageRank 0.2000."
5,100000008603629100,coordinator,0.844812,"Rank 5/2248 (priority 0.844812): coordinator multiplier 1.00; observed outflow 4,986,156 KZT, 73 counterparties, hop 2, amount-weighted PageRank 0.001197. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.0333 + PageRank 0.1115."
6,100000002527114100,distributor,0.831588,"Rank 6/2248 (priority 0.831588): distributor multiplier 0.95; observed outflow 3,289,249 KZT, 111 recipients, hop 0, amount-weighted PageRank 0.000815. Score terms before multiplier: base 0.20 + amount 0.2995 + breadth 0.2000 + depth 0.1000 + PageRank 0.0759."
7,100000008477350100,coordinator,0.830064,"Rank 7/2248 (priority 0.830064): coordinator multiplier 1.00; observed outflow 3,374,866 KZT, 49 counterparties, hop 2, amount-weighted PageRank 0.001039. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.0333 + PageRank 0.0967."
8,100000005933757100,coordinator,0.82441,"Rank 8/2248 (priority 0.824410): coordinator multiplier 1.00; observed outflow 3,002,628 KZT, 36 counterparties, hop 2, amount-weighted PageRank 0.001003. Score terms before multiplier: base 0.20 + amount 0.2977 + breadth 0.2000 + depth 0.0333 + PageRank 0.0934."
9,100000004156082100,coordinator,0.823608,"Rank 9/2248 (priority 0.823608): coordinator multiplier 1.00; observed outflow 2,319,556 KZT, 30 counterparties, hop 1, amount-weighted PageRank 0.000871. Score terms before multiplier: base 0.20 + amount 0.2925 + breadth 0.2000 + depth 0.0500 + PageRank 0.0811."
10,100000000343175100,distributor,0.823415,"Rank 10/2248 (priority 0.823415): distributor multiplier 0.95; observed outflow 4,000,039 KZT, 31 recipients, hop 0, amount-weighted PageRank 0.000717. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.1000 + PageRank 0.0668."
11,100000002398779100,consolidator,0.823115,"Rank 11/2248 (priority 0.823115): consolidator multiplier 1.00; observed inflow 1,095,690 KZT, 14 counterparties, hop 2, amount-weighted PageRank 0.001607. Score terms before multiplier: base 0.20 + amount 0.2775 + breadth 0.1625 + depth 0.0333 + PageRank 0.1497."
12,100000003115284100,consolidator,0.822242,"Rank 12/2248 (priority 0.822242): consolidator multiplier 1.00; observed inflow 2,160,500 KZT, 9 counterparties, hop 1, amount-weighted PageRank 0.001535. Score terms before multiplier: base 0.20 + amount 0.2911 + breadth 0.1382 + depth 0.0500 + PageRank 0.1429."
13,100000002838861100,consolidator,0.821235,"Rank 13/2248 (priority 0.821235): consolidator multiplier 1.00; observed inflow 554,524 KZT, 5 counterparties, hop 1, amount-weighted PageRank 0.002145. Score terms before multiplier: base 0.20 + amount 0.2640 + breadth 0.1075 + depth 0.0500 + PageRank 0.1997."
14,100000000331309100,coordinator,0.815239,"Rank 14/2248 (priority 0.815239): coordinator multiplier 1.00; observed outflow 23,001,375 KZT, 104 counterparties, hop 2, amount-weighted PageRank 0.000879. Score terms before multiplier: base 0.20 + amount 0.3000 + breadth 0.2000 + depth 0.0333 + PageRank 0.0819."
